 -inf -inf -inf -inf -inf -inf -inf 
-3.010299956640e-01  0.000000000000e+00  8.803942385634e-01  6.047658847039e-01 -2.810013776895e-01  2.810013776896e-01 
-2.233061150172e-01  0.000000000000e+00  8.803942385634e-01  6.047658847039e-01 -4.782973574911e-02  4.782973574900e-02 
-1.574033030092e-01  0.000000000000e+00  8.803942385634e-01  6.047658847039e-01  1.498787002748e-01 -1.498787002747e-01 
-1.001959894553e-01  0.000000000000e+00  8.803942385634e-01  6.047658847039e-01  3.215006409367e-01 -3.215006409366e-01 
-4.965471901858e-02  0.000000000000e+00  8.803942385634e-01  6.047658847039e-01  4.731244522466e-01 -4.731244522467e-01 
-4.386850248122e-03  8.600171761918e-03  8.941880820622e-01  6.180480967121e-01  6.089280585581e-01 -6.003278867962e-01 
 3.660482427949e-02  1.760912590557e-01  1.045199911248e+00  7.708520116421e-01  7.319030821415e-01 -5.558118230857e-01 
 7.405892656032e-02  2.855573090078e-01  1.145224228670e+00  8.715729355459e-01  8.442653889836e-01 -5.587080799759e-01 
 1.085378280610e-01  3.314272965207e-01  1.227431098957e+00  9.491459524199e-01  9.477020934855e-01 -6.162747969648e-01 
 1.404796174207e-01  3.645509953540e-01  1.280665539181e+00  9.997827984541e-01  1.043527461564e+00 -6.789764662101e-01 
 1.702322227133e-01  4.014005407815e-01  1.335575134345e+00  1.052309099647e+00  1.132785277443e+00 -7.313847366611e-01 
 1.980765716635e-01  4.638929889859e-01  1.422424280716e+00  1.135927335005e+00  1.216318324293e+00 -7.524253353072e-01 
 2.242427618429e-01  4.828735836088e-01  1.438719432049e+00  1.152441238059e+00  1.294816894831e+00 -8.119433112222e-01 
 2.489216289782e-01  5.158738437117e-01  1.443702067987e+00  1.160768561861e+00  1.368853496237e+00 -8.529796525251e-01 
 2.722732006745e-01  5.352941200428e-01  1.450472743190e+00  1.169233451301e+00  1.438908211326e+00 -9.036140912834e-01 
 2.944329906107e-01  5.477747053878e-01  1.459622617931e+00  1.178833117359e+00  1.505387581135e+00 -9.576128757469e-01 
 3.155167631386e-01  5.899496013257e-01  1.497942971356e+00  1.217615528666e+00  1.568638898718e+00 -9.786892973925e-01 
 3.356241937511e-01  6.748611407378e-01  1.561168849158e+00  1.283527364862e+00  1.628961190555e+00 -9.541000498176e-01 
 3.548417189053e-01  7.419390777292e-01  1.628206743627e+00  1.350635608259e+00  1.686613766019e+00 -9.446746882894e-01 
 3.732447815260e-01  7.712199019495e-01  1.651811248299e+00  1.375114684692e+00  1.741822953880e+00 -9.706030519308e-01 
 3.908996197295e-01  8.270460170047e-01  1.707582182897e+00  1.431122422401e+00  1.794787468491e+00 -9.677414514861e-01 
 4.078647059271e-01  9.006401839826e-01  1.792338239969e+00  1.514481341699e+00  1.845682727084e+00 -9.450425431011e-01 
 4.241919152337e-01  9.508514588885e-01  1.841552575920e+00  1.563836918665e+00  1.894664355004e+00 -9.438128961149e-01 
 4.399274820746e-01  9.945371042985e-01  1.877015931465e+00  1.600428325732e+00  1.941871055526e+00 -9.473339512280e-01 
 4.551127894555e-01  1.034828915656e+00  1.911242114757e+00  1.635584266311e+00  1.987426977669e+00 -9.525980620128e-01 
 4.697850248380e-01  1.075181854619e+00  1.945589082671e+00  1.670802284261e+00  2.031443683816e+00 -9.562618291974e-01 
 4.839777287928e-01  1.107718610520e+00  1.971327302162e+00  1.697578033651e+00  2.074021795681e+00 -9.663031851610e-01 
 4.977212568007e-01  1.140979163477e+00  1.998600796823e+00  1.725789163577e+00  2.115252379705e+00 -9.742732162277e-01 
 5.110431701928e-01  1.173040507551e+00  2.029897321428e+00  1.757206173279e+00  2.155218119881e+00 -9.821776123295e-01 
 5.239685688935e-01  1.203440866830e+00  2.061188448079e+00  1.788451207023e+00  2.193994315983e+00 -9.905534491524e-01 
 5.365203760603e-01  1.231597005565e+00  2.088894572733e+00  1.816307599432e+00  2.231649737483e+00 -1.000052731918e+00 
 5.487195827324e-01  1.259235402199e+00  2.116850887463e+00  1.844228581302e+00  2.268247357500e+00 -1.009011955301e+00 
 5.605854590454e-01  1.286344176409e+00  2.144800417668e+00  1.872127124489e+00  2.303844986438e+00 -1.017500810029e+00 
 5.721357373509e-01  1.314920055992e+00  2.174634917859e+00  1.901785145304e+00  2.338495821355e+00 -1.023575765363e+00 
 5.833867716091e-01  1.343014497151e+00  2.206444662569e+00  1.933056829475e+00  2.372248924130e+00 -1.029234426979e+00 
 5.943536766501e-01  1.371437317404e+00  2.235973459050e+00  1.962393015203e+00  2.405149639253e+00 -1.033712321849e+00 
 6.050504502805e-01  1.398113691731e+00  2.262328864914e+00  1.988781843454e+00  2.437239960144e+00 -1.039126268413e+00 
 6.154900807098e-01  1.423163923850e+00  2.284939440207e+00  2.011697288114e+00  2.468558851432e+00 -1.045394927581e+00 
 6.256846413658e-01  1.449324093099e+00  2.310946552168e+00  2.037705313136e+00  2.499142533400e+00 -1.049818440301e+00 
 6.356453748339e-01  1.474653253362e+00  2.335666071424e+00  2.062525578685e+00  2.529024733804e+00 -1.054371480442e+00 
 6.453827673838e-01  1.504062882679e+00  2.363257085897e+00  2.090363879472e+00  2.558236911454e+00 -1.054174028775e+00 
 6.549066153235e-01  1.531351164583e+00  2.390058351359e+00  2.117221564433e+00  2.586808455273e+00 -1.055457290690e+00 
 6.642260842321e-01  1.558168365870e+00  2.417768498054e+00  2.144869863049e+00  2.614766861999e+00 -1.056598496129e+00 
 6.733497619694e-01  1.584613876172e+00  2.445428994712e+00  2.172310968522e+00  2.642137895210e+00 -1.057524019039e+00 
