#                r          N_{at}(r)               M(r)          N_{el}(r)          Volume(r)     Density{at}(r)
5.000000000000e-01 1.000000000000e+00 7.383355000000e+00 3.935000000000e+00 5.235987755983e-01 1.909859317103e+00
5.979899497487e-01 1.000000000000e+00 7.383355000000e+00 3.935000000000e+00 8.957158602674e-01 1.116425469681e+00
6.959798994975e-01 1.000000000000e+00 7.383355000000e+00 3.935000000000e+00 1.412143073826e+00 7.081435433386e-01
7.939698492462e-01 1.000000000000e+00 7.383355000000e+00 3.935000000000e+00 2.096527874369e+00 4.769791101877e-01
8.919597989950e-01 1.000000000000e+00 7.383355000000e+00 3.935000000000e+00 2.972517719991e+00 3.364151518003e-01
9.899497487437e-01 1.040000000000e+00 7.723495000000e+00 4.115000000000e+00 4.063760068789e+00 2.559206209017e-01
1.087939698492e+00 1.515000000000e+00 1.124783000000e+01 5.980000000000e+00 5.393902378857e+00 2.808727139628e-01
1.185929648241e+00 1.995000000000e+00 1.404230000000e+01 7.510000000000e+00 6.986592108291e+00 2.855469403506e-01
1.283919597990e+00 2.145000000000e+00 1.606329000000e+01 8.520000000000e+00 8.865476715186e+00 2.419497641143e-01
1.381909547739e+00 2.300000000000e+00 1.805473500000e+01 9.515000000000e+00 1.105420365764e+01 2.080656437346e-01
1.479899497487e+00 2.520000000000e+00 2.084683500000e+01 1.091000000000e+01 1.357642039374e+01 1.856159375532e-01
1.577889447236e+00 2.890000000000e+00 2.534080500000e+01 1.315500000000e+01 1.645577438159e+01 1.756222425627e-01
1.675879396985e+00 3.005000000000e+00 2.617192000000e+01 1.359500000000e+01 1.971591307928e+01 1.524149547585e-01
1.773869346734e+00 3.225000000000e+00 2.639368000000e+01 1.381500000000e+01 2.338048394491e+01 1.379355537550e-01
1.871859296482e+00 3.410000000000e+00 2.721106000000e+01 1.430000000000e+01 2.747313443657e+01 1.241212577281e-01
1.969849246231e+00 3.495000000000e+00 2.787163500000e+01 1.465000000000e+01 3.201751201236e+01 1.091590126881e-01
2.067839195980e+00 3.860000000000e+00 3.004958500000e+01 1.584500000000e+01 3.703726413037e+01 1.042193609769e-01
2.165829145729e+00 4.750000000000e+00 3.585755500000e+01 1.897500000000e+01 4.255603824870e+01 1.116175329160e-01
2.263819095477e+00 5.485000000000e+00 4.156403000000e+01 2.198000000000e+01 4.859748182545e+01 1.128659303727e-01
2.361809045226e+00 5.955000000000e+00 4.517711000000e+01 2.390000000000e+01 5.518524231870e+01 1.079092842541e-01
2.459798994975e+00 6.870000000000e+00 5.307485500000e+01 2.802500000000e+01 6.234296718656e+01 1.101968723985e-01
2.557788944724e+00 8.005000000000e+00 6.063933500000e+01 3.210000000000e+01 7.009430388712e+01 1.142032883712e-01
2.655778894472e+00 9.005000000000e+00 6.751235000000e+01 3.579000000000e+01 7.846289987848e+01 1.147676164652e-01
2.753768844221e+00 9.760000000000e+00 7.273848500000e+01 3.860000000000e+01 8.747240261872e+01 1.115780487080e-01
2.851758793970e+00 1.088000000000e+01 8.005252000000e+01 4.256500000000e+01 9.714645956595e+01 1.119958467721e-01
2.949748743719e+00 1.177000000000e+01 8.727507500000e+01 4.639000000000e+01 1.075087181783e+02 1.094794933792e-01
3.047738693467e+00 1.296000000000e+01 9.508460500000e+01 5.063500000000e+01 1.185828259137e+02 1.092906995607e-01
3.145728643216e+00 1.387500000000e+01 1.006910800000e+02 5.371000000000e+01 1.303924302305e+02 1.064095513480e-01
3.243718592965e+00 1.487000000000e+01 1.076793750000e+02 5.747000000000e+01 1.429611785866e+02 1.040142516102e-01
3.341708542714e+00 1.580500000000e+01 1.143864700000e+02 6.105500000000e+01 1.563127184402e+02 1.011114140789e-01
3.439698492462e+00 1.699500000000e+01 1.232215350000e+02 6.575500000000e+01 1.704706972494e+02 9.969455322365e-02
3.537688442211e+00 1.811000000000e+01 1.312650350000e+02 7.005000000000e+01 1.854587624722e+02 9.764974034440e-02
