#                r          N_{at}(r)               M(r)          N_{el}(r)          Volume(r)     Density{at}(r)
5.000000000000e-01 1.000000000000e+00 7.167940000000e+00 3.835000000000e+00 5.235987755983e-01 1.909859317103e+00
5.979899497487e-01 1.000000000000e+00 7.167940000000e+00 3.835000000000e+00 8.957158602674e-01 1.116425469681e+00
6.959798994975e-01 1.000000000000e+00 7.167940000000e+00 3.835000000000e+00 1.412143073826e+00 7.081435433386e-01
7.939698492462e-01 1.000000000000e+00 7.167940000000e+00 3.835000000000e+00 2.096527874369e+00 4.769791101877e-01
8.919597989950e-01 1.000000000000e+00 7.167940000000e+00 3.835000000000e+00 2.972517719991e+00 3.364151518003e-01
9.899497487437e-01 1.055000000000e+00 7.523200000000e+00 4.030000000000e+00 4.063760068789e+00 2.596117837032e-01
1.087939698492e+00 1.580000000000e+00 1.129292000000e+01 6.035000000000e+00 5.393902378857e+00 2.929233584563e-01
1.185929648241e+00 1.995000000000e+00 1.402187000000e+01 7.500000000000e+00 6.986592108291e+00 2.855469403506e-01
1.283919597990e+00 2.145000000000e+00 1.610268000000e+01 8.540000000000e+00 8.865476715186e+00 2.419497641143e-01
1.381909547739e+00 2.335000000000e+00 1.851451000000e+01 9.745000000000e+00 1.105420365764e+01 2.112318600523e-01
1.479899497487e+00 2.535000000000e+00 2.104645000000e+01 1.101000000000e+01 1.357642039374e+01 1.867207943243e-01
1.577889447236e+00 2.900000000000e+00 2.545042500000e+01 1.321000000000e+01 1.645577438159e+01 1.762299319833e-01
1.675879396985e+00 2.995000000000e+00 2.582126000000e+01 1.343000000000e+01 1.971591307928e+01 1.519077502501e-01
1.773869346734e+00 3.245000000000e+00 2.607326000000e+01 1.368000000000e+01 2.338048394491e+01 1.387909680418e-01
1.871859296482e+00 3.465000000000e+00 2.694048500000e+01 1.420500000000e+01 2.747313443657e+01 1.261232134979e-01
1.969849246231e+00 3.550000000000e+00 2.726616500000e+01 1.440000000000e+01 3.201751201236e+01 1.108768226160e-01
2.067839195980e+00 3.845000000000e+00 2.914865000000e+01 1.542000000000e+01 3.703726413037e+01 1.038143634601e-01
2.165829145729e+00 4.610000000000e+00 3.477558500000e+01 1.840000000000e+01 4.255603824870e+01 1.083277529985e-01
2.263819095477e+00 5.345000000000e+00 4.040160000000e+01 2.137500000000e+01 4.859748182545e+01 1.099851226695e-01
2.361809045226e+00 5.765000000000e+00 4.336940500000e+01 2.297000000000e+01 5.518524231870e+01 1.044663347985e-01
2.459798994975e+00 6.700000000000e+00 5.069809000000e+01 2.685000000000e+01 6.234296718656e+01 1.074700211164e-01
2.557788944724e+00 7.800000000000e+00 5.962838000000e+01 3.154000000000e+01 7.009430388712e+01 1.112786570013e-01
2.655778894472e+00 8.695000000000e+00 6.563567500000e+01 3.477500000000e+01 7.846289987848e+01 1.108167046269e-01
2.753768844221e+00 9.550000000000e+00 7.036751500000e+01 3.740500000000e+01 8.747240261872e+01 1.091772915125e-01
2.851758793970e+00 1.056000000000e+01 7.777062000000e+01 4.136000000000e+01 9.714645956595e+01 1.087018512788e-01
2.949748743719e+00 1.149500000000e+01 8.499310000000e+01 4.520000000000e+01 1.075087181783e+02 1.069215612909e-01
3.047738693467e+00 1.261000000000e+01 9.166770000000e+01 4.887500000000e+01 1.185828259137e+02 1.063391760386e-01
3.145728643216e+00 1.357500000000e+01 9.745500500000e+01 5.207000000000e+01 1.303924302305e+02 1.041088042918e-01
3.243718592965e+00 1.462000000000e+01 1.051334400000e+02 5.616000000000e+01 1.429611785866e+02 1.022655251204e-01
3.341708542714e+00 1.565000000000e+01 1.130167050000e+02 6.034500000000e+01 1.563127184402e+02 1.001198121059e-01
3.439698492462e+00 1.677500000000e+01 1.207605850000e+02 6.450500000000e+01 1.704706972494e+02 9.840400884536e-02
3.537688442211e+00 1.815500000000e+01 1.303924150000e+02 6.967000000000e+01 1.854587624722e+02 9.789238188584e-02
3.635678391960e+00 1.954500000000e+01 1.411284900000e+02 7.535000000000e+01 2.013005615667e+02 9.709361885473e-02
3.733668341709e+00 2.081000000000e+01 1.509083550000e+02 8.052000000000e+01 2.180197419911e+02 9.545007167677e-02
3.831658291457e+00 2.229000000000e+01 1.624951600000e+02 8.663000000000e+01 2.356399512034e+02 9.459346722050e-02
3.929648241206e+00 2.391500000000e+01 1.754132500000e+02 9.343500000000e+01 2.541848366618e+02 9.408507727714e-02
4.027638190955e+00 2.549500000000e+01 1.864762100000e+02 9.937000000000e+01 2.736780458243e+02 9.315690603977e-02
4.125628140704e+00 2.722500000000e+01 1.982555350000e+02 1.057050000000e+02 2.941432261490e+02 9.255695042323e-02
4.223618090452e+00 2.906000000000e+01 2.115996400000e+02 1.128200000000e+02 3.156040250940e+02 9.207740614634e-02
4.321608040201e+00 3.098000000000e+01 2.266907550000e+02 1.207950000000e+02 3.380840901175e+02 9.163400735372e-02
4.419597989950e+00 3.323500000000e+01 2.429100800000e+02 1.294750000000e+02 3.616070686774e+02 9.190915465662e-02
4.517587939698e+00 3.550500000000e+01 2.584440150000e+02 1.378250000000e+02 3.861966082320e+02 9.193503837991e-02
4.615577889447e+00 3.772000000000e+01 2.742022300000e+02 1.462450000000e+02 4.118763562393e+02 9.158088205017e-02
4.713567839196e+00 4.047500000000e+01 2.942055750000e+02 1.569150000000e+02 4.386699601573e+02 9.226754434127e-02
4.811557788945e+00 4.324500000000e+01 3.135380650000e+02 1.672750000000e+02 4.666010674443e+02 9.268088527287e-02
4.909547738693e+00 4.599500000000e+01 3.335356600000e+02 1.779350000000e+02 4.956933255582e+02 9.278922597597e-02
5.007537688442e+00 4.889500000000e+01 3.559193800000e+02 1.897850000000e+02 5.259703819572e+02 9.296150824701e-02
5.105527638191e+00 5.208000000000e+01 3.781860850000e+02 2.017100000000e+02 5.574558840994e+02 9.342443318925e-02
5.203517587940e+00 5.515000000000e+01 4.008767200000e+02 2.137850000000e+02 5.901734794429e+02 9.344709974440e-02
5.301507537688e+00 5.829000000000e+01 4.231233600000e+02 2.256800000000e+02 6.241468154457e+02 9.339148828048e-02
5.399497487437e+00 6.154500000000e+01 4.448388850000e+02 2.374150000000e+02 6.593995395660e+02 9.333491503574e-02
5.497487437186e+00 6.492000000000e+01 4.702942350000e+02 2.509200000000e+02 6.959552992619e+02 9.328185311449e-02
5.595477386935e+00 6.831000000000e+01 4.941881000000e+02 2.636850000000e+02 7.338377419914e+02 9.308597267650e-02
5.693467336683e+00 7.199500000000e+01 5.222679350000e+02 2.785650000000e+02 7.730705152127e+02 9.312863261923e-02
5.791457286432e+00 7.575500000000e+01 5.512213250000e+02 2.939000000000e+02 8.136772663838e+02 9.310202352915e-02
5.889447236181e+00 7.964500000000e+01 5.791335650000e+02 3.087950000000e+02 8.556816429628e+02 9.307784110481e-02
5.987437185930e+00 8.352000000000e+01 6.075275000000e+02 3.239150000000e+02 8.991072924079e+02 9.289213946460e-02
6.085427135678e+00 8.782500000000e+01 6.360838650000e+02 3.393250000000e+02 9.439778621771e+02 9.303713944885e-02
6.183417085427e+00 9.204500000000e+01 6.648871400000e+02 3.548350000000e+02 9.903169997286e+02 9.294498632784e-02
6.281407035176e+00 9.641000000000e+01 6.963955950000e+02 3.716550000000e+02 1.038148352520e+03 9.286726676967e-02
6.379396984925e+00 1.007250000000e+02 7.277834100000e+02 3.883800000000e+02 1.087495568011e+03 9.262106712239e-02
6.477386934673e+00 1.052900000000e+02 7.592921650000e+02 4.052800000000e+02 1.138382293657e+03 9.249089746621e-02
6.575376884422e+00 1.101850000000e+02 7.933475650000e+02 4.235400000000e+02 1.190832176918e+03 9.252773156090e-02
6.673366834171e+00 1.150400000000e+02 8.266085000000e+02 4.414000000000e+02 1.244868865252e+03 9.241134003031e-02
6.771356783920e+00 1.197800000000e+02 8.603580900000e+02 4.594450000000e+02 1.300516006117e+03 9.210190373405e-02
6.869346733668e+00 1.250100000000e+02 8.988321800000e+02 4.799200000000e+02 1.357797246971e+03 9.206823793381e-02
6.967336683417e+00 1.302900000000e+02 9.379613450000e+02 5.007200000000e+02 1.416736235272e+03 9.196489562153e-02
7.065326633166e+00 1.358050000000e+02 9.764609750000e+02 5.213700000000e+02 1.477356618477e+03 9.192431827324e-02
7.163316582915e+00 1.412150000000e+02 1.016713170000e+03 5.427650000000e+02 1.539682044046e+03 9.171698828732e-02
7.261306532663e+00 1.468100000000e+02 1.056239385000e+03 5.639300000000e+02 1.603736159437e+03 9.154248916579e-02
7.359296482412e+00 1.526050000000e+02 1.096002325000e+03 5.852950000000e+02 1.669542612106e+03 9.140527405137e-02
7.457286432161e+00 1.588700000000e+02 1.140841595000e+03 6.092650000000e+02 1.737125049513e+03 9.145570725868e-02
7.555276381910e+00 1.651450000000e+02 1.187555090000e+03 6.341050000000e+02 1.806507119116e+03 9.141674464080e-02
7.653266331658e+00 1.712650000000e+02 1.231417120000e+03 6.575400000000e+02 1.877712468372e+03 9.120938529448e-02
7.751256281407e+00 1.776900000000e+02 1.275550315000e+03 6.812300000000e+02 1.950764744740e+03 9.108735457677e-02
7.849246231156e+00 1.840700000000e+02 1.321744165000e+03 7.058550000000e+02 2.025687595678e+03 9.086791092207e-02
7.947236180905e+00 1.909800000000e+02 1.371983095000e+03 7.326550000000e+02 2.102504668644e+03 9.083451887087e-02
8.045226130653e+00 1.980050000000e+02 1.424018445000e+03 7.603500000000e+02 2.181239611095e+03 9.077636358371e-02
8.143216080402e+00 2.052000000000e+02 1.473022215000e+03 7.867000000000e+02 2.261916070491e+03 9.071954643985e-02
8.241206030151e+00 2.123450000000e+02 1.523820870000e+03 8.138750000000e+02 2.344557694290e+03 9.056932167512e-02
8.339195979899e+00 2.200500000000e+02 1.578319760000e+03 8.430250000000e+02 2.429188129948e+03 9.058582054108e-02
8.437185929648e+00 2.277000000000e+02 1.631280025000e+03 8.714500000000e+02 2.515831024925e+03 9.050687337270e-02
8.535175879397e+00 2.357550000000e+02 1.689409940000e+03 9.024950000000e+02 2.604510026679e+03 9.051798518152e-02
8.633165829146e+00 2.433750000000e+02 1.743448615000e+03 9.313900000000e+02 2.695248782667e+03 9.029778681848e-02
8.731155778894e+00 2.514300000000e+02 1.798125570000e+03 9.608300000000e+02 2.788070940347e+03 9.018063219320e-02
8.829145728643e+00 2.598550000000e+02 1.858534140000e+03 9.931050000000e+02 2.883000147179e+03 9.013353684851e-02
8.927135678392e+00 2.680050000000e+02 1.914908105000e+03 1.023385000000e+03 2.980060050619e+03 8.993275150422e-02
9.025125628141e+00 2.767350000000e+02 1.978581935000e+03 1.057305000000e+03 3.079274298127e+03 8.987020096532e-02
9.123115577889e+00 2.856350000000e+02 2.041589635000e+03 1.091070000000e+03 3.180666537159e+03 8.980350397093e-02
9.221105527638e+00 2.943550000000e+02 2.105699440000e+03 1.125220000000e+03 3.284260415175e+03 8.962596225315e-02
9.319095477387e+00 3.038300000000e+02 2.169454950000e+03 1.159570000000e+03 3.390079579632e+03 8.962326484176e-02
9.417085427136e+00 3.133700000000e+02 2.238907090000e+03 1.196590000000e+03 3.498147677988e+03 8.958169547039e-02
9.515075376884e+00 3.229050000000e+02 2.305161070000e+03 1.232115000000e+03 3.608488357702e+03 8.948483907695e-02
9.613065326633e+00 3.327700000000e+02 2.375774275000e+03 1.269820000000e+03 3.721125266231e+03 8.942725014388e-02
9.711055276382e+00 3.428100000000e+02 2.445828495000e+03 1.307375000000e+03 3.836082051034e+03 8.936461614724e-02
9.809045226131e+00 3.528450000000e+02 2.518648475000e+03 1.346200000000e+03 3.953382359569e+03 8.925142268264e-02
9.907035175879e+00 3.633300000000e+02 2.595487570000e+03 1.387110000000e+03 4.073049839294e+03 8.920342601626e-02
1.000502512563e+01 3.739350000000e+02 2.670571930000e+03 1.427275000000e+03 4.195108137666e+03 8.913596210848e-02
1.010301507538e+01 3.850300000000e+02 2.749403125000e+03 1.469405000000e+03 4.319580902145e+03 8.913596219689e-02
1.020100502513e+01 3.961550000000e+02 2.829827070000e+03 1.512315000000e+03 4.446491780188e+03 8.909383387711e-02
1.029899497487e+01 4.074200000000e+02 2.909160775000e+03 1.554795000000e+03 4.575864419253e+03 8.903672894804e-02
1.039698492462e+01 4.189600000000e+02 2.992453930000e+03 1.599250000000e+03 4.707722466798e+03 8.899420111419e-02
1.049497487437e+01 4.304950000000e+02 3.072392605000e+03 1.642190000000e+03 4.842089570282e+03 8.890686422700e-02
1.059296482412e+01 4.426900000000e+02 3.156784340000e+03 1.687460000000e+03 4.978989377162e+03 8.891161769306e-02
