#                r          N_{at}(r)               M(r)          N_{el}(r)          Volume(r)     Density{at}(r)
5.000000000000e-01 1.000000000000e+00 6.983025000000e+00 3.740000000000e+00 5.235987755983e-01 1.909859317103e+00
5.979899497487e-01 1.000000000000e+00 6.983025000000e+00 3.740000000000e+00 8.957158602674e-01 1.116425469681e+00
6.959798994975e-01 1.000000000000e+00 6.983025000000e+00 3.740000000000e+00 1.412143073826e+00 7.081435433386e-01
7.939698492462e-01 1.000000000000e+00 6.983025000000e+00 3.740000000000e+00 2.096527874369e+00 4.769791101877e-01
8.919597989950e-01 1.000000000000e+00 6.983025000000e+00 3.740000000000e+00 2.972517719991e+00 3.364151518003e-01
9.899497487437e-01 1.025000000000e+00 7.158135000000e+00 3.835000000000e+00 4.063760068789e+00 2.522294581002e-01
1.087939698492e+00 1.475000000000e+00 1.011710000000e+01 5.430000000000e+00 5.393902378857e+00 2.734569327361e-01
1.185929648241e+00 2.000000000000e+00 1.380209500000e+01 7.390000000000e+00 6.986592108291e+00 2.862625968427e-01
1.283919597990e+00 2.155000000000e+00 1.594296000000e+01 8.460000000000e+00 8.865476715186e+00 2.430777350426e-01
1.381909547739e+00 2.300000000000e+00 1.780431500000e+01 9.390000000000e+00 1.105420365764e+01 2.080656437346e-01
1.479899497487e+00 2.530000000000e+00 2.078630500000e+01 1.088000000000e+01 1.357642039374e+01 1.863525087339e-01
1.577889447236e+00 2.935000000000e+00 2.570064000000e+01 1.333500000000e+01 1.645577438159e+01 1.783568449555e-01
1.675879396985e+00 3.035000000000e+00 2.629657500000e+01 1.366000000000e+01 1.971591307928e+01 1.539365682835e-01
1.773869346734e+00 3.315000000000e+00 2.657881500000e+01 1.394000000000e+01 2.338048394491e+01 1.417849180458e-01
1.871859296482e+00 3.525000000000e+00 2.779716000000e+01 1.463500000000e+01 2.747313443657e+01 1.283071652468e-01
1.969849246231e+00 3.620000000000e+00 2.820787500000e+01 1.487500000000e+01 3.201751201236e+01 1.130631261605e-01
2.067839195980e+00 3.925000000000e+00 2.995057000000e+01 1.583500000000e+01 3.703726413037e+01 1.059743502161e-01
2.165829145729e+00 4.765000000000e+00 3.584326500000e+01 1.897500000000e+01 4.255603824870e+01 1.119700093358e-01
2.263819095477e+00 5.570000000000e+00 4.087999000000e+01 2.171500000000e+01 4.859748182545e+01 1.146149921925e-01
2.361809045226e+00 6.000000000000e+00 4.424954500000e+01 2.351500000000e+01 5.518524231870e+01 1.087247196515e-01
2.459798994975e+00 6.915000000000e+00 5.148770000000e+01 2.734000000000e+01 6.234296718656e+01 1.109186859731e-01
2.557788944724e+00 8.030000000000e+00 6.024768500000e+01 3.195000000000e+01 7.009430388712e+01 1.145599507334e-01
2.655778894472e+00 9.005000000000e+00 6.687538000000e+01 3.551500000000e+01 7.846289987848e+01 1.147676164652e-01
2.753768844221e+00 9.950000000000e+00 7.269276500000e+01 3.869500000000e+01 8.747240261872e+01 1.137501623612e-01
2.851758793970e+00 1.099500000000e+01 7.970627500000e+01 4.248000000000e+01 9.714645956595e+01 1.131796264025e-01
2.949748743719e+00 1.175000000000e+01 8.491289000000e+01 4.529000000000e+01 1.075087181783e+02 1.092934619546e-01
3.047738693467e+00 1.284000000000e+01 9.113671500000e+01 4.874500000000e+01 1.185828259137e+02 1.082787486389e-01
3.145728643216e+00 1.382000000000e+01 9.749941000000e+01 5.221500000000e+01 1.303924302305e+02 1.059877477210e-01
3.243718592965e+00 1.486500000000e+01 1.061042800000e+02 5.675000000000e+01 1.429611785866e+02 1.039792770804e-01
3.341708542714e+00 1.586000000000e+01 1.138374500000e+02 6.084500000000e+01 1.563127184402e+02 1.014632728434e-01
3.439698492462e+00 1.706000000000e+01 1.228766200000e+02 6.565000000000e+01 1.704706972494e+02 1.000758504263e-01
3.537688442211e+00 1.832000000000e+01 1.317425350000e+02 7.041500000000e+01 1.854587624722e+02 9.878206753779e-02
3.635678391960e+00 1.969000000000e+01 1.422485500000e+02 7.598500000000e+01 2.013005615667e+02 9.781393477869e-02
3.733668341709e+00 2.100000000000e+01 1.515186500000e+02 8.095500000000e+01 2.180197419911e+02 9.632155238886e-02
3.831658291457e+00 2.247000000000e+01 1.620259750000e+02 8.656500000000e+01 2.356399512034e+02 9.535734447934e-02
3.929648241206e+00 2.406500000000e+01 1.736446350000e+02 9.275500000000e+01 2.541848366618e+02 9.467519902464e-02
4.027638190955e+00 2.568500000000e+01 1.852327600000e+02 9.895500000000e+01 2.736780458243e+02 9.385115244682e-02
4.125628140704e+00 2.742000000000e+01 1.975370050000e+02 1.055350000000e+02 2.941432261490e+02 9.321989276786e-02
4.223618090452e+00 2.930000000000e+01 2.104373000000e+02 1.124750000000e+02 3.156040250940e+02 9.283785272153e-02
4.321608040201e+00 3.137000000000e+01 2.254204450000e+02 1.204850000000e+02 3.380840901175e+02 9.278756651666e-02
4.419597989950e+00 3.342500000000e+01 2.403023450000e+02 1.284250000000e+02 3.616070686774e+02 9.243458686317e-02
4.517587939698e+00 3.559500000000e+01 2.554266700000e+02 1.365400000000e+02 3.861966082320e+02 9.216808030230e-02
4.615577889447e+00 3.804000000000e+01 2.732772750000e+02 1.460350000000e+02 4.118763562393e+02 9.235781424147e-02
4.713567839196e+00 4.060000000000e+01 2.931031200000e+02 1.565250000000e+02 4.386699601573e+02 9.255249660916e-02
4.811557788945e+00 4.330500000000e+01 3.122152250000e+02 1.667550000000e+02 4.666010674443e+02 9.280947477724e-02
4.909547738693e+00 4.624000000000e+01 3.341240050000e+02 1.783950000000e+02 4.956933255582e+02 9.328348318575e-02
5.007537688442e+00 4.916000000000e+01 3.536138800000e+02 1.889150000000e+02 5.259703819572e+02 9.346533889811e-02
5.105527638191e+00 5.211000000000e+01 3.753245350000e+02 2.004600000000e+02 5.574558840994e+02 9.347824910698e-02
5.203517587940e+00 5.502500000000e+01 3.964052250000e+02 2.117100000000e+02 5.901734794429e+02 9.323529761443e-02
5.301507537688e+00 5.784000000000e+01 4.161101800000e+02 2.222750000000e+02 6.241468154457e+02 9.267050406833e-02
5.399497487437e+00 6.123500000000e+01 4.405289050000e+02 2.353100000000e+02 6.593995395660e+02 9.286479035199e-02
5.497487437186e+00 6.471500000000e+01 4.650130400000e+02 2.484250000000e+02 6.959552992619e+02 9.298729396649e-02
5.595477386935e+00 6.815500000000e+01 4.897578350000e+02 2.616150000000e+02 7.338377419914e+02 9.287475432246e-02
5.693467336683e+00 7.197000000000e+01 5.190955350000e+02 2.771550000000e+02 7.730705152127e+02 9.309629404272e-02
5.791457286432e+00 7.575500000000e+01 5.482235950000e+02 2.925750000000e+02 8.136772663838e+02 9.310202352915e-02
5.889447236181e+00 7.996000000000e+01 5.796772550000e+02 3.092850000000e+02 8.556816429628e+02 9.344596867023e-02
5.987437185930e+00 8.381000000000e+01 6.073637400000e+02 3.240600000000e+02 8.991072924079e+02 9.321468161552e-02
6.085427135678e+00 8.801000000000e+01 6.382851750000e+02 3.405150000000e+02 9.439778621771e+02 9.323311862104e-02
6.183417085427e+00 9.218500000000e+01 6.689280750000e+02 3.568450000000e+02 9.903169997286e+02 9.308635520269e-02
6.281407035176e+00 9.665000000000e+01 7.010764500000e+02 3.740000000000e+02 1.038148352520e+03 9.309844760179e-02
6.379396984925e+00 1.008950000000e+02 7.312983800000e+02 3.901500000000e+02 1.087495568011e+03 9.277738959854e-02
6.477386934673e+00 1.057400000000e+02 7.639290450000e+02 4.077350000000e+02 1.138382293657e+03 9.288619525195e-02
6.575376884422e+00 1.106950000000e+02 7.984716500000e+02 4.262650000000e+02 1.190832176918e+03 9.295600349534e-02
6.673366834171e+00 1.155850000000e+02 8.321068450000e+02 4.443300000000e+02 1.244868865252e+03 9.284913714711e-02
6.771356783920e+00 1.206900000000e+02 8.693939750000e+02 4.641850000000e+02 1.300516006117e+03 9.280162599484e-02
6.869346733668e+00 1.262800000000e+02 9.086664500000e+02 4.852350000000e+02 1.357797246971e+03 9.300357640414e-02
6.967336683417e+00 1.318000000000e+02 9.466113700000e+02 5.056150000000e+02 1.416736235272e+03 9.303072563449e-02
7.065326633166e+00 1.372150000000e+02 9.858764150000e+02 5.265700000000e+02 1.477356618477e+03 9.287872561292e-02
7.163316582915e+00 1.432350000000e+02 1.029242980000e+03 5.497050000000e+02 1.539682044046e+03 9.302894747254e-02
7.261306532663e+00 1.487100000000e+02 1.066219705000e+03 5.696000000000e+02 1.603736159437e+03 9.272722269494e-02
7.359296482412e+00 1.547350000000e+02 1.110702530000e+03 5.932650000000e+02 1.669542612106e+03 9.268107257520e-02
7.457286432161e+00 1.607250000000e+02 1.154333690000e+03 6.165500000000e+02 1.737125049513e+03 9.252356360012e-02
7.555276381910e+00 1.668100000000e+02 1.199975355000e+03 6.407850000000e+02 1.806507119116e+03 9.233841274960e-02
7.653266331658e+00 1.729050000000e+02 1.242331865000e+03 6.635300000000e+02 1.877712468372e+03 9.208278845265e-02
7.751256281407e+00 1.787450000000e+02 1.282262645000e+03 6.850150000000e+02 1.950764744740e+03 9.162816812328e-02
7.849246231156e+00 1.852500000000e+02 1.328553045000e+03 7.097750000000e+02 2.025687595678e+03 9.145042917539e-02
7.947236180905e+00 1.917900000000e+02 1.376879165000e+03 7.354750000000e+02 2.102504668644e+03 9.121977366344e-02
8.045226130653e+00 1.985100000000e+02 1.421618865000e+03 7.596650000000e+02 2.181239611095e+03 9.100788331104e-02
8.143216080402e+00 2.055500000000e+02 1.470111890000e+03 7.857150000000e+02 2.261916070491e+03 9.087428250834e-02
8.241206030151e+00 2.125250000000e+02 1.519334560000e+03 8.120550000000e+02 2.344557694290e+03 9.064609521771e-02
8.339195979899e+00 2.201300000000e+02 1.572098405000e+03 8.403500000000e+02 2.429188129948e+03 9.061875335473e-02
8.437185929648e+00 2.276450000000e+02 1.624560050000e+03 8.684850000000e+02 2.515831024925e+03 9.048501180908e-02
8.535175879397e+00 2.353200000000e+02 1.680902595000e+03 8.984800000000e+02 2.604510026679e+03 9.035096720288e-02
8.633165829146e+00 2.430850000000e+02 1.735337980000e+03 9.276400000000e+02 2.695248782667e+03 9.019019007199e-02
8.731155778894e+00 2.508950000000e+02 1.787838105000e+03 9.559200000000e+02 2.788070940347e+03 8.998874324509e-02
8.829145728643e+00 2.593350000000e+02 1.846784210000e+03 9.875150000000e+02 2.883000147179e+03 8.995316918515e-02
8.927135678392e+00 2.679250000000e+02 1.909271315000e+03 1.020835000000e+03 2.980060050619e+03 8.990590640760e-02
9.025125628141e+00 2.766450000000e+02 1.971684265000e+03 1.054195000000e+03 3.079274298127e+03 8.984097329955e-02
9.123115577889e+00 2.850300000000e+02 2.030170495000e+03 1.085575000000e+03 3.180666537159e+03 8.961329226753e-02
9.221105527638e+00 2.942200000000e+02 2.098409955000e+03 1.121890000000e+03 3.284260415175e+03 8.958485710833e-02
9.319095477387e+00 3.035100000000e+02 2.165024930000e+03 1.157500000000e+03 3.390079579632e+03 8.952887177739e-02
9.417085427136e+00 3.132400000000e+02 2.234997700000e+03 1.194835000000e+03 3.498147677988e+03 8.954453294554e-02
