3.155167631386e-01 5.938396610813e-01 1.476405092017e+00 1.199618067708e+00
3.356241937511e-01 6.780629049743e-01 1.554407563125e+00 1.278181784568e+00
3.548417189053e-01 7.458551951737e-01 1.611510780890e+00 1.336759833698e+00
3.732447815260e-01 7.781512503836e-01 1.645908809384e+00 1.371344983082e+00
3.908996197295e-01 8.397921844453e-01 1.711703491951e+00 1.436798510232e+00
4.078647059271e-01 9.047155452787e-01 1.779940363927e+00 1.504470862494e+00
4.241919152337e-01 9.544837171556e-01 1.825266262789e+00 1.550411819008e+00
4.399274820746e-01 9.978230807457e-01 1.861491188343e+00 1.587654850996e+00
4.551127894555e-01 1.041195233697e+00 1.901492513248e+00 1.628184508073e+00
4.697850248380e-01 1.070037866608e+00 1.928973622293e+00 1.656002320683e+00
4.839777287928e-01 1.108565023733e+00 1.959693370493e+00 1.687930074726e+00
4.977212568007e-01 1.140508043038e+00 1.989001987652e+00 1.717795282340e+00
5.110431701928e-01 1.172164913541e+00 2.025732902684e+00 1.753965865865e+00
5.239685688935e-01 1.200303182982e+00 2.056285158832e+00 1.784224895440e+00
5.365203760603e-01 1.231979026832e+00 2.089469256597e+00 1.817234730425e+00
5.487195827324e-01 1.262925469332e+00 2.119726015914e+00 1.847665183621e+00
5.605854590454e-01 1.294245716138e+00 2.153047848141e+00 1.880727867805e+00
5.721357373509e-01 1.322219294734e+00 2.180466092202e+00 1.908243677121e+00
5.833867716091e-01 1.351603072419e+00 2.209584643523e+00 1.937342333364e+00
5.943536766501e-01 1.381385866013e+00 2.239661369703e+00 1.967337329758e+00
6.050504502805e-01 1.409679570060e+00 2.267717797837e+00 1.995437743136e+00
6.154900807098e-01 1.438067450453e+00 2.295648464833e+00 2.023396514478e+00
6.256846413658e-01 1.466867620354e+00 2.323122720978e+00 2.051056001838e+00
6.356453748339e-01 1.496514518698e+00 2.352993302784e+00 2.080932981992e+00
6.453827673838e-01 1.524071415934e+00 2.380758008905e+00 2.108649574396e+00
6.549066153235e-01 1.551388997273e+00 2.407266241514e+00 2.135259898516e+00
6.642260842321e-01 1.580240508265e+00 2.436603518438e+00 2.164456954998e+00
6.733497619694e-01 1.608526033577e+00 2.467020441405e+00 2.194583712457e+00
6.822857062310e-01 1.636538042936e+00 2.494454077369e+00 2.222078864717e+00
6.910414873090e-01 1.665017825412e+00 2.523907678465e+00 2.251382677939e+00
6.996242266268e-01 1.691611874214e+00 2.548529303539e+00 2.276266442615e+00
7.080406315382e-01 1.716921073167e+00 2.574406955212e+00 2.302027726022e+00
7.162970268198e-01 1.740560051225e+00 2.598139370268e+00 2.325741372154e+00
7.243993832240e-01 1.762228284286e+00 2.619208340796e+00 2.346890618918e+00
7.323533434177e-01 1.786999722179e+00 2.643974409616e+00 2.371640383838e+00
7.401642455877e-01 1.811004955509e+00 2.667465131644e+00 2.395195298492e+00
7.478371449604e-01 1.833497722133e+00 2.689981392436e+00 2.417662641145e+00
7.553768334537e-01 1.857151502687e+00 2.715247293311e+00 2.442722717866e+00
7.627878576520e-01 1.879411302531e+00 2.738957723210e+00 2.466237213703e+00
7.700745352724e-01 1.902872785446e+00 2.763186260140e+00 2.490358857684e+00
7.772409702728e-01 1.923295840656e+00 2.783448860700e+00 2.510625427665e+00
7.842910667333e-01 1.944532020992e+00 2.805014757495e+00 2.532136247743e+00
