 -inf -inf -inf -inf -inf -inf -inf 
-3.010299956640e-01  0.000000000000e+00  8.708923581113e-01  5.971464878337e-01 -2.810013776895e-01  2.810013776896e-01 
-2.233061150172e-01  0.000000000000e+00  8.708923581113e-01  5.971464878337e-01 -4.782973574911e-02  4.782973574900e-02 
-1.574033030092e-01  0.000000000000e+00  8.708923581113e-01  5.971464878337e-01  1.498787002748e-01 -1.498787002747e-01 
-1.001959894553e-01  0.000000000000e+00  8.708923581113e-01  5.971464878337e-01  3.215006409367e-01 -3.215006409366e-01 
-4.965471901858e-02  0.000000000000e+00  8.708923581113e-01  5.971464878337e-01  4.731244522466e-01 -4.731244522467e-01 
-4.386850248122e-03  1.494034979294e-02  8.772898360074e-01  6.047658847039e-01  6.089280585581e-01 -5.939877087652e-01 
 3.660482427949e-02  1.702617153950e-01  1.033324218262e+00  7.600453279658e-01  7.319030821415e-01 -5.616413667465e-01 
 7.405892656032e-02  2.999429000228e-01  1.148828842345e+00  8.767949762007e-01  8.442653889836e-01 -5.443224889608e-01 
 1.085378280610e-01  3.344537511509e-01  1.213472864298e+00  9.375178920173e-01  9.477020934855e-01 -6.132483423346e-01 
 1.404796174207e-01  3.617278360176e-01  1.259106038968e+00  9.806849743633e-01  1.043527461564e+00 -6.817996255466e-01 
 1.702322227133e-01  4.022613824547e-01  1.322256208196e+00  1.040800061257e+00  1.132785277443e+00 -7.305238949879e-01 
 1.980765716635e-01  4.668676203541e-01  1.411722544146e+00  1.126780577012e+00  1.216318324293e+00 -7.494507039389e-01 
 2.242427618429e-01  4.800069429572e-01  1.419077354742e+00  1.134814370320e+00  1.294816894831e+00 -8.148099518738e-01 
 2.489216289782e-01  5.105450102066e-01  1.422731298989e+00  1.141763230276e+00  1.368853496237e+00 -8.583084860302e-01 
 2.722732006745e-01  5.415792439466e-01  1.442505637821e+00  1.163459551770e+00  1.438908211326e+00 -8.973289673797e-01 
 2.944329906107e-01  5.520595341879e-01  1.452587759444e+00  1.173623257698e+00  1.505387581135e+00 -9.533280469467e-01 
 3.155167631386e-01  5.888317255942e-01  1.479862177973e+00  1.202079441007e+00  1.568638898718e+00 -9.798071731240e-01 
 3.356241937511e-01  6.716355966021e-01  1.552210384204e+00  1.275541688401e+00  1.628961190555e+00 -9.573255939533e-01 
 3.548417189053e-01  7.335984609613e-01  1.609260663896e+00  1.333144876099e+00  1.686613766019e+00 -9.530153050572e-01 
 3.732447815260e-01  7.734207232906e-01  1.654211736601e+00  1.377852419007e+00  1.741822953880e+00 -9.684022305899e-01 
 3.908996197295e-01  8.305886686851e-01  1.718668399375e+00  1.441459468918e+00  1.794787468491e+00 -9.641987998055e-01 
 4.078647059271e-01  8.934843462185e-01  1.778076509111e+00  1.501333178646e+00  1.845682727084e+00 -9.521983808650e-01 
 4.241919152337e-01  9.420080530223e-01  1.820249551159e+00  1.544316141747e+00  1.894664355004e+00 -9.526563019815e-01 
 4.399274820746e-01  9.843022319799e-01  1.856631238650e+00  1.581608366032e+00  1.941871055526e+00 -9.575688235466e-01 
 4.551127894555e-01  1.017867718964e+00  1.883972454597e+00  1.609914410086e+00  1.987426977669e+00 -9.695592587052e-01 
 4.697850248380e-01  1.052693941925e+00  1.918856598042e+00  1.644881521155e+00  2.031443683816e+00 -9.787497418911e-01 
 4.839777287928e-01  1.092194120697e+00  1.953017302884e+00  1.679881942113e+00  2.074021795681e+00 -9.818276749836e-01 
 4.977212568007e-01  1.131618664349e+00  1.985986429172e+00  1.713868391282e+00  2.115252379705e+00 -9.836337153555e-01 
 5.110431701928e-01  1.165095874754e+00  2.019584597973e+00  1.747489492259e+00  2.155218119881e+00 -9.901222451266e-01 
 5.239685688935e-01  1.194930399218e+00  2.049822744290e+00  1.777752964533e+00  2.193994315983e+00 -9.990639167648e-01 
 5.365203760603e-01  1.224014811373e+00  2.081417163819e+00  1.808987011128e+00  2.231649737483e+00 -1.007634926110e+00 
 5.487195827324e-01  1.253701381012e+00  2.111125228687e+00  1.838786144947e+00  2.268247357500e+00 -1.014545976488e+00 
 5.605854590454e-01  1.285107029567e+00  2.146706828046e+00  1.873814497991e+00  2.303844986438e+00 -1.018737956872e+00 
 5.721357373509e-01  1.313234291695e+00  2.175432021093e+00  1.902465239529e+00  2.338495821355e+00 -1.025261529660e+00 
 5.833867716091e-01  1.341038631678e+00  2.205944524453e+00  1.932625944022e+00  2.372248924130e+00 -1.031210292452e+00 
 5.943536766501e-01  1.372267444096e+00  2.237714494393e+00  1.964330356438e+00  2.405149639253e+00 -1.032882195157e+00 
 6.050504502805e-01  1.403034683745e+00  2.269460895809e+00  1.995942162993e+00  2.437239960144e+00 -1.034205276399e+00 
 6.154900807098e-01  1.431524584187e+00  2.295803335878e+00  2.022572699593e+00  2.468558851432e+00 -1.037034267244e+00 
 6.256846413658e-01  1.462472869804e+00  2.325131884155e+00  2.052097290944e+00  2.499142533400e+00 -1.036669663596e+00 
 6.356453748339e-01  1.491221576239e+00  2.352894775041e+00  2.079994785746e+00  2.529024733804e+00 -1.037803157565e+00 
 6.453827673838e-01  1.519893592217e+00  2.379916463840e+00  2.107209969648e+00  2.558236911454e+00 -1.038343319236e+00 
 6.549066153235e-01  1.545987102271e+00  2.404875887302e+00  2.132339751193e+00  2.586808455273e+00 -1.040821353002e+00 
 6.642260842321e-01  1.574609941340e+00  2.433633381639e+00  2.161023425123e+00  2.614766861999e+00 -1.040156920659e+00 
 6.733497619694e-01  1.601842789782e+00  2.463011215383e+00  2.190107488314e+00  2.642137895210e+00 -1.040295105428e+00 
